"Step","domain_url","robots_txt","sitemap_URL","issue","note"
"Step 1","finanzen.net",NA,NA,"No valid robots.txt URL found",NA
"Step 1","news-und-nachrichten.de",NA,NA,"No valid robots.txt URL found",NA
"Step 2","finanzen.net",NA,NA,"robots.txt content not fetched",NA
"Step 2","news-und-nachrichten.de",NA,NA,"robots.txt content not fetched",NA
"Step 3","badische-zeitung.de","http://badische-zeitung.de/robots.txt",NA,"No sitemap URL",NA
"Step 3","dnn.de","http://dnn.de/robots.txt",NA,"No sitemap URL",NA
"Step 3","echo24.de","http://echo24.de/robots.txt",NA,"No sitemap URL",NA
"Step 3","epochtimes.de","http://epochtimes.de/robots.txt",NA,"No sitemap URL",NA
"Step 3","express.de","http://express.de/robots.txt",NA,"No sitemap URL",NA
"Step 3","faz.net","http://faz.net/robots.txt",NA,"No sitemap URL",NA
"Step 3","finanzen.net",NA,NA,"No sitemap URL",NA
"Step 3","fnp.de","http://fnp.de/robots.txt",NA,"No sitemap URL",NA
"Step 3","focus.de","http://focus.de/robots.txt",NA,"No sitemap URL",NA
"Step 3","fr.de","http://fr.de/robots.txt",NA,"No sitemap URL",NA
"Step 3","haz.de","http://haz.de/robots.txt",NA,"No sitemap URL",NA
"Step 3","heidelberg24.de","http://heidelberg24.de/robots.txt",NA,"No sitemap URL",NA
"Step 3","kreiszeitung.de","http://kreiszeitung.de/robots.txt",NA,"No sitemap URL",NA
"Step 3","ksta.de","http://ksta.de/robots.txt",NA,"No sitemap URL",NA
"Step 3","lvz.de","http://lvz.de/robots.txt",NA,"No sitemap URL",NA
"Step 3","maz-online.de","http://maz-online.de/robots.txt",NA,"No sitemap URL",NA
"Step 3","n-tv.de","http://n-tv.de/robots.txt",NA,"No sitemap URL",NA
"Step 3","news-und-nachrichten.de",NA,NA,"No sitemap URL",NA
"Step 3","ostsee-zeitung.de","http://ostsee-zeitung.de/robots.txt",NA,"No sitemap URL",NA
"Step 3","rbb24.de","http://rbb24.de/robots.txt",NA,"No sitemap URL",NA
"Step 3","rnd.de","http://rnd.de/robots.txt",NA,"No sitemap URL",NA
"Step 3","rp-online.de","http://rp-online.de/robots.txt",NA,"No sitemap URL",NA
"Step 3","ruhr24.de","http://ruhr24.de/robots.txt",NA,"No sitemap URL",NA
"Step 3","ruhrnachrichten.de","http://ruhrnachrichten.de/robots.txt",NA,"No sitemap URL",NA
"Step 3","saechsische.de","http://saechsische.de/robots.txt",NA,"No sitemap URL",NA
"Step 3","stern.de","http://stern.de/robots.txt",NA,"No sitemap URL",NA
"Step 3","sueddeutsche.de","http://sueddeutsche.de/robots.txt",NA,"No sitemap URL",NA
"Step 3","t-online.de","http://t-online.de/robots.txt",NA,"No sitemap URL",NA
"Step 3","tagesschau.de","http://tagesschau.de/robots.txt",NA,"No sitemap URL",NA
"Step 3","wa.de","http://wa.de/robots.txt",NA,"No sitemap URL",NA
"Step 3","watson.de","http://watson.de/robots.txt",NA,"No sitemap URL",NA
"Step 3","wdr.de","http://wdr.de/robots.txt",NA,"No sitemap URL",NA
"Step 3","wz.de","http://wz.de/robots.txt",NA,"No sitemap URL",NA
"Step 4","express.de",NA,NA,"No typical sitemap URL found",NA
"Step 4","finanzen.net",NA,NA,"No typical sitemap URL found",NA
"Step 4","focus.de",NA,NA,"No typical sitemap URL found",NA
"Step 4","ksta.de",NA,NA,"No typical sitemap URL found",NA
"Step 4","news-und-nachrichten.de",NA,NA,"No typical sitemap URL found",NA
"Step 4","rbb24.de",NA,NA,"No typical sitemap URL found",NA
"Step 4","ruhrnachrichten.de",NA,NA,"No typical sitemap URL found",NA
"Step 4","stern.de",NA,NA,"No typical sitemap URL found",NA
"Step 4","t-online.de",NA,NA,"No typical sitemap URL found",NA
"Step 4","tagesschau.de",NA,NA,"No typical sitemap URL found",NA
"Step 4","wdr.de",NA,NA,"No typical sitemap URL found",NA
"Step 5","derwesten.de",NA,"https://www.derwesten.de/sitemap_index.xml",NA,NA
"Step 5","swrfernsehen.de",NA,"https://www.swrfernsehen.de/~sitemap/index.xml",NA,NA
