"type","domain","link","reason"
"sitemap","augsburger-allgemeine.de","https://www.augsburger-allgemeine.de/sitemap-image.xml","media sitemap - images, videos, podcasts"
"sitemap","augsburger-allgemeine.de","https://www.augsburger-allgemeine.de/sitemap-video.xml","media sitemap - images, videos, podcasts"
"sitemap","bild.de","https://www.bild.de/sitemap-video.xml","media sitemap - images, videos, podcasts"
"sitemap","deutschlandfunk.de","https://www.deutschlandfunk.de/filter-heute-neu-audios-100.sitemap","media sitemap - images, videos, podcasts"
"sitemap","deutschlandfunk.de","https://www.deutschlandfunk.de/podcast-filter-296.sitemap","media sitemap - images, videos, podcasts"
"sitemap","deutschlandfunkkultur.de","https://www.deutschlandfunkkultur.de/filter-heute-neu-audios-102.sitemap","media sitemap - images, videos, podcasts"
"sitemap","deutschlandfunkkultur.de","https://www.deutschlandfunkkultur.de/podcast-filter-116.sitemap","media sitemap - images, videos, podcasts"
"sitemap","dnn.de","https://dnn.de/~/sitemap-images.xml","media sitemap - images, videos, podcasts"
"sitemap","dnn.de","https://dnn.de/~/sitemap-videos.xml","media sitemap - images, videos, podcasts"
"sitemap","epochtimes.de","https://epochtimes.de/sitemap-images.xml","media sitemap - images, videos, podcasts"
"sitemap","epochtimes.de","https://epochtimes.de/sitemap-videos.xml","media sitemap - images, videos, podcasts"
"sitemap","faz.net","https://faz.net/sitemap-images.xml","media sitemap - images, videos, podcasts"
"sitemap","faz.net","https://faz.net/sitemap-videos.xml","media sitemap - images, videos, podcasts"
"sitemap","haz.de","https://haz.de/~/sitemap-images.xml","media sitemap - images, videos, podcasts"
"sitemap","haz.de","https://haz.de/~/sitemap-videos.xml","media sitemap - images, videos, podcasts"
"sitemap","kabeleins.de","https://www.kabeleins.de/sitemap.videos.xml","media sitemap - images, videos, podcasts"
"sitemap","lvz.de","https://lvz.de/~/sitemap-images.xml","media sitemap - images, videos, podcasts"
"sitemap","lvz.de","https://lvz.de/~/sitemap-videos.xml","media sitemap - images, videos, podcasts"
"sitemap","manager-magazin.de","https://www.manager-magazin.de/sitemaps/videos/sitemap.xml","media sitemap - images, videos, podcasts"
"sitemap","maz-online.de","https://maz-online.de/~/sitemap-images.xml","media sitemap - images, videos, podcasts"
"sitemap","maz-online.de","https://maz-online.de/~/sitemap-videos.xml","media sitemap - images, videos, podcasts"
"sitemap","ostsee-zeitung.de","https://ostsee-zeitung.de/~/sitemap-images.xml","media sitemap - images, videos, podcasts"
"sitemap","ostsee-zeitung.de","https://ostsee-zeitung.de/~/sitemap-videos.xml","media sitemap - images, videos, podcasts"
"sitemap","prosieben.de","https://www.prosieben.de/sitemap.videos.xml","media sitemap - images, videos, podcasts"
"sitemap","rnd.de","https://rnd.de/~/sitemap-images.xml","media sitemap - images, videos, podcasts"
"sitemap","rnd.de","https://rnd.de/~/sitemap-videos.xml","media sitemap - images, videos, podcasts"
"sitemap","rp-online.de","https://rp-online.de/sitemap-images.xml","media sitemap - images, videos, podcasts"
"sitemap","rp-online.de","https://rp-online.de/sitemap-videos.xml","media sitemap - images, videos, podcasts"
"sitemap","rtl.de","https://www.rtl.de/sitemap-video.xml","media sitemap - images, videos, podcasts"
"sitemap","saechsische.de","https://saechsische.de/~/sitemap-images.xml","media sitemap - images, videos, podcasts"
"sitemap","saechsische.de","https://saechsische.de/~/sitemap-videos.xml","media sitemap - images, videos, podcasts"
"sitemap","spiegel.de","https://www.spiegel.de/sitemaps/videos/sitemap.xml","media sitemap - images, videos, podcasts"
"sitemap","sueddeutsche.de","https://sueddeutsche.de/sitemap-images.xml","media sitemap - images, videos, podcasts"
"sitemap","sueddeutsche.de","https://sueddeutsche.de/sitemap-videos.xml","media sitemap - images, videos, podcasts"
"sitemap","sueddeutsche.de","https://sueddeutsche.de/~/sitemap-images.xml","media sitemap - images, videos, podcasts"
"sitemap","sueddeutsche.de","https://sueddeutsche.de/~/sitemap-videos.xml","media sitemap - images, videos, podcasts"
"sitemap","vox.de","https://www.vox.de/xml-sitemaps/videos.200027.xml","media sitemap - images, videos, podcasts"
"sitemap","welt.de","https://www.welt.de/sitemaps/videositemap/videositemap.xml","media sitemap - images, videos, podcasts"
"sitemap","wz.de","https://wz.de/sitemap-images.xml","media sitemap - images, videos, podcasts"
"sitemap","wz.de","https://wz.de/sitemap-videos.xml","media sitemap - images, videos, podcasts"
